pdf_page,book_page,number,cargo_name,parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,is_group_heading,raw_details
592,589,369,SOLVESSO 100,SOLVESSOS,64742-95-6,A1,,,,"0,88 (@ 15 ° C)",Negligible,165,-114,"0,89",50,YES,no,"CAS: 64742-95-6 MARPOL: A1 REL. DENSITY: 0,88 (@ 15 ° C) | SOLUBILITY [°C]: Negligible | BOIL. POINT [°C]: 165 MELT. POINT [°C]: -114 | VISCOSITY [MPA*S]: 0,89 | FLASH POINT [°C]: 50 STATIC ACCUMULATOR: YES"
592,589,369,SOLVESSO 150,SOLVESSOS,64742-94-5,A1,,,,"0,894",INSOLUBLE,175,-20,"1,14",62,YES,no,"CAS: 64742-94-5 | MARPOL: A1 REL. DENSITY: 0,894 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 175 MELT. POINT [°C]: -20 VISCOSITY [MPA*S]: 1,14 FLASH POINT [°C]: 62 STATIC ACCUMULATOR: YES"
592,589,369,SOLVESSO 200,SOLVESSOS,64742-94-5,A1,,,,"0,987",INSOLUBLE,220,-10,"3,2 (@ 25°C)",95,YES,no,"CAS: 64742-94-5 | MARPOL: A1 REL. DENSITY: 0,987 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 220 MELT. POINT [°C]: -10 | VISCOSITY [MPA*S]: 3,2 (@ 25°C) FLASH POINT [°C]: 95 | STATIC ACCUMULATOR: YES"
592,589,370,SORBITOL,,50-70-4,OS,A,L1,A,"1,29 (70% SOL)",COMPLETE,105,,,283,,no,"CAS: 50-70-4 MARPOL: OS FOSFA: A NIOP: L1 | EU: A REL. DENSITY: 1,29 (70% SOL) | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 105 FLASH POINT [°C]: 283"
592,589,371,SOYABEANOIL,,8001-22-7,Y,A,L1,A,"0,92",INSOLUBLE,250,-10,60,320,,no,"CAS: 8001-22-7 MARPOL: Y | FOSFA: A NIOP: L1 | EU: A REL. DENSITY: 0,92 SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 250 MELT. POINT [°C]: -10 | VISCOSITY [MPA*S]: 60 | FLASH POINT [°C]: 320"
592,589,372,SOYBEAN OIL FATTY ACID METHYL ESTER,,67784-80-9,Y,A,L2,A,"0,888",INSOLUBLE,200,1,"6,56",120,,no,"CAS: 67784-80-9 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,888 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 MELT. POINT [°C]: 1 | VISCOSITY [MPA*S]: 6,56 | FLASH POINT [°C]: 120"
593,590,373,SPECIAL BOILING POINT SOLVENTS,,,,,,,,,,,,,,yes,
593,590,373,SBP 100/140,SPECIAL BOILING POINT SOLVENTS,64742-49-0,A1,,,,"0,728 (@15°C)",INSOLUBLE,107,-30,"0,76 (@25 °C)",1,YES,no,"CAS: 64742-49-0 MARPOL: A1 REL. DENSITY: 0,728 (@15°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 107 MELT. POINT [°C]: -30 | VISCOSITY [MPA*S]: 0,76 (@25 °C) | FLASH POINT [°C]: 1 | STATIC ACCUMULATOR: YES"
593,590,373,SBP 140/165,SPECIAL BOILING POINT SOLVENTS,64742-49-0,A1,,,,"0,75 (@15 °C)",INSOLUBLE,143,-30,"0,91 (@ 25°C)",27,YES,no,"CAS: 64742-49-0 MARPOL: A1 REL. DENSITY: 0,75 (@15 °C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 143 MELT. POINT [°C]: -30 | VISCOSITY [MPA*S]: 0,91 (@ 25°C) | FLASH POINT [°C]: 27 | STATIC ACCUMULATOR: YES"
593,590,373,SBP 80/100,SPECIAL BOILING POINT SOLVENTS,64742-49-0,A1,,,,"0,714 (@15 °C)",INSOLUBLE,88,-30,"0,61 (@25 °C)",-12,YES,no,"CAS: 64742-49-0 MARPOL: A1 REL. DENSITY: 0,714 (@15 °C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 88 MELT. POINT [°C]: -30 | VISCOSITY [MPA*S]: 0,61 (@25 °C) | FLASH POINT [°C]: -12 | STATIC ACCUMULATOR: YES"
593,590,374,STEARICACID,,57-11-4,Y,A,L2,A,"0,84 (@ 60 °C)",1,300,70,,,,no,"CAS: 57-11-4 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,84 (@ 60 °C) | SOLUBILITY [°C]: 1 | BOIL. POINT [°C]: 300 MELT. POINT [°C]: 70"
593,590,375,STYRENE MONOMER,,100-42-5,Y,B,,,"0,906",INSOLUBLE,145,-31,"0,7 (@25°C)",32,YES,no,"CAS: 100-42-5 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,906 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 145 MELT. POINT [°C]: -31 | VISCOSITY [MPA*S]: 0,7 (@25°C) | FLASH POINT [°C]: 32 | STATIC ACCUMULATOR: YES"
593,590,376,SULPHOLANE,,126-33-0,Y,,,,"1,261",COMPLETE,285,27,"10,34",165,,no,"CAS: 126-33-0 | MARPOL: Y REL. DENSITY: 1,261 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 285 MELT. POINT [°C]: 27 | VISCOSITY [MPA*S]: 10,34 | FLASH POINT [°C]: 165"
593,590,377,SULPHURICACID,,7664-93-9,Y,A,L2,A,"1,84",COMPLETE,310,5,20,,,no,"CAS: 7664-93-9 MARPOL: Y | FOSFA: A NIOP: L2 | EU: A REL. DENSITY: 1,84 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 310 MELT. POINT [°C]: 5 | VISCOSITY [MPA*S]: 20"
594,591,378,SUNFLOWER OIL,,,Y,A,L1,A,"0,92",INSOLUBLE,204,-18,68 (LOWER LIMIT),160,,no,"MARPOL: Y | FOSFA: A | NIOP: L1 | EU: A REL. DENSITY: 0,92 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 204 MELT. POINT [°C]: -18 | VISCOSITY [MPA*S]: 68 (LOWER LIMIT) | FLASH POINT [°C]: 160"
594,591,379,TALL OIL FATTY ACID (TYPE I AND II),,61790-12-3,Y,,L2,,"0,9",INSOLUBLE,,,40 (LOWERLIMIT),200,,no,"CAS: 61790-12-3 | MARPOL: Y | NIOP: L2 REL. DENSITY: 0,9 | SOLUBILITY [°C]: INSOLUBLE VISCOSITY [MPA*S]: 40 (LOWERLIMIT) | FLASH POINT [°C]: 200"
594,591,380,TALL OIL PITCH,,8016-81-7,Y,B,,,1 (@25 °C),INSOLUBLE,200,,30000,200,,no,CAS: 8016-81-7 MARPOL: Y | FOSFA: B REL. DENSITY: 1 (@25 °C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 VISCOSITY [MPA*S]: 30000 | FLASH POINT [°C]: 200
594,591,381,"TALL OIL, CRUDE",,8002-26-4,Y,B,,,"0,97 (LOWER LIMIT)",INSOLUBLE,200,-10,120 (5 to 120),120,,no,"CAS: 8002-26-4 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,97 (LOWER LIMIT) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 MELT. POINT [°C]: -10 | VISCOSITY [MPA*S]: 120 (5 to 120) | FLASH POINT [°C]: 120"
594,591,382,TALLOW,,,Y,A,L2,A,"0,89",INSOLUBLE,,25,,,,no,"MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,89 | SOLUBILITY [°C]: INSOLUBLE MELT. POINT [°C]: 25"
