pdf_page,book_page,number,cargo_name,parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,is_group_heading,raw_details
599,596,417,UREA AMMONIUM NITRATE SOLUTION,,6484-52-2,Y,A,L2,A,"1,32 (1.265 - 1.35)",100,121,0,3,,,no,"CAS: 6484-52-2 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 1,32 (1.265 - 1.35) | SOLUBILITY [°C]: 100 | BOIL. POINT [°C]: 121 MELT. POINT [°C]: 0 | VISCOSITY [MPA*S]: 3"
599,596,418,UREA SOLUTION,,57-13-6,Z,A,,,"1,09",100,100,"-11,5",,,,no,"CAS: 57-13-6 MARPOL: Z | FOSFA: A REL. DENSITY: 1,09 | SOLUBILITY [°C]: 100 | BOIL. POINT [°C]: 100 MELT. POINT [°C]: -11,5"
599,596,419,USED COOKING OIL,,68475-81-0,X,B,,,"0,89 (@60°C)",Insoluble,,20,"65,23",255,,no,"CAS: 68475-81-0 | MARPOL: X | FOSFA: B REL. DENSITY: 0,89 (@60°C) | SOLUBILITY [°C]: Insoluble MELT. POINT [°C]: 20 | VISCOSITY [MPA*S]: 65,23 | FLASH POINT [°C]: 255"
599,596,420,"USED COOKING OIL (TRIGLYCERIDES, C16- C18 AND C18 UNSATURATED)* (M)",,68990-65-8,Y,B,,,"0,91 (0.91 -0.94)",Insoluble,,25,40 (@40°C),220,,no,"CAS: 68990-65-8 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,91 (0.91 -0.94) | SOLUBILITY [°C]: Insoluble MELT. POINT [°C]: 25 | VISCOSITY [MPA*S]: 40 (@40°C) | FLASH POINT [°C]: 220"
599,596,421,USED COOKING OIL METHYL ESTERS,,67762-38-3,Y,B,,,"0,8881",INSOLUBLE,354,6,40 (@40°C),173,,no,"CAS: 67762-38-3 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,8881 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 354 MELT. POINT [°C]: 6 | VISCOSITY [MPA*S]: 40 (@40°C) | FLASH POINT [°C]: 173"
599,596,422,VACUUM GAS OIL,,64741-57-7,A1,,,,"0,91 (@15°C)",Insoluble,300,12,40 (@ 50°C),130,YES,no,"CAS: 64741-57-7 | MARPOL: A1 REL. DENSITY: 0,91 (@15°C) | SOLUBILITY [°C]: Insoluble | BOIL. POINT [°C]: 300 MELT. POINT [°C]: 12 | VISCOSITY [MPA*S]: 40 (@ 50°C) | FLASH POINT [°C]: 130 | STATIC ACCUMULATOR: YES"
600,597,423,VALERALDEHYDE,,110-62-3,Y,,,,"0,81","1,8",100,-92,"0,54",4,YES,no,"CAS: 110-62-3 | MARPOL: Y REL. DENSITY: 0,81 | SOLUBILITY [°C]: 1,8 | BOIL. POINT [°C]: 100 MELT. POINT [°C]: -92 | VISCOSITY [MPA*S]: 0,54 | FLASH POINT [°C]: 4 | STATIC ACCUMULATOR: YES"
600,597,424,VARSOLS,,,,,,,,,,,,,,yes,
600,597,424,VARSOL 140,VARSOLS,,Y,,,,"0,845",INSOLUBLE,295,,"6,84",140,YES,no,"MARPOL: Y REL. DENSITY: 0,845 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 295 VISCOSITY [MPA*S]: 6,84 | FLASH POINT [°C]: 140 | STATIC ACCUMULATOR: YES"
600,597,424,VARSOL 30,VARSOLS,,A1,,,,"0,771",INSOLUBLE,137,,"0,74",29,YES,no,"MARPOL: A1 REL. DENSITY: 0,771 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 137 VISCOSITY [MPA*S]: 0,74 | FLASH POINT [°C]: 29 | STATIC ACCUMULATOR: YES"
600,597,424,VARSOL 40,VARSOLS,,A1,,,,"0,783",INSOLUBLE,153,,"0,87",41,YES,no,"MARPOL: A1 REL. DENSITY: 0,783 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 153 VISCOSITY [MPA*S]: 0,87 | FLASH POINT [°C]: 41 | STATIC ACCUMULATOR: YES"
600,597,424,VARSOL 80,VARSOLS,,A1,,,,"0,812",INSOLUBLE,203,,"1,62",79,YES,no,"MARPOL: A1 REL. DENSITY: 0,812 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 203 VISCOSITY [MPA*S]: 1,62 | FLASH POINT [°C]: 79 | STATIC ACCUMULATOR: YES"
600,597,425,VEGETABLE ACID OILS,,,Y,,,,(UNKNOWN),INSOLUBLE,,,,,,no,MARPOL: Y REL. DENSITY: (UNKNOWN) | SOLUBILITY [°C]: INSOLUBLE
600,597,426,VINYL ETHYL ETHER,,109-92-2,Z,,,,"0,75","0,8",36,-115,,-46,YES,no,"CAS: 109-92-2 | MARPOL: Z REL. DENSITY: 0,75 | SOLUBILITY [°C]: 0,8 | BOIL. POINT [°C]: 36 MELT. POINT [°C]: -115 | FLASH POINT [°C]: -46 | STATIC ACCUMULATOR: YES"
601,598,427,VINYLACETATE,,108-05-4,Y,B,,,"0,934",2,73,-93,"0,4",-4,YES,no,"CAS: 108-05-4 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,934 | SOLUBILITY [°C]: 2 | BOIL. POINT [°C]: 73 MELT. POINT [°C]: -93 | VISCOSITY [MPA*S]: 0,4 | FLASH POINT [°C]: -4 | STATIC ACCUMULATOR: YES"
601,598,428,VINYLIDENECHLORIDE,,75-35-4,Y,,,,"1,22","0,5",32,-122,"0,33",-10,,no,"CAS: 75-35-4 | MARPOL: Y REL. DENSITY: 1,22 | SOLUBILITY [°C]: 0,5 | BOIL. POINT [°C]: 32 MELT. POINT [°C]: -122 | VISCOSITY [MPA*S]: 0,33 | FLASH POINT [°C]: -10"
601,598,429,VINYLTOLUENES (MIXED ISOMERS),,25013-15-4,Y,B,,,"0,9",INSOLUBLE,170,-77,"0,84",53 w,,no,"CAS: 25013-15-4 | MARPOL: Y | FOSFA: B REL. DENSITY: 0,9 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 170 MELT. POINT [°C]: -77 | VISCOSITY [MPA*S]: 0,84 | FLASH POINT [°C]: 53 w"
601,598,430,WAXY RESIDUES,,,A1,B,,,"0,97 (UPPERLIMIT)",INSOLUBLE,200,38,,215,,no,"MARPOL: A1 | FOSFA: B REL. DENSITY: 0,97 (UPPERLIMIT) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 200 MELT. POINT [°C]: 38 | FLASH POINT [°C]: 215"
601,598,431,WHITE SPIRIT HIGH AROMATIC,,64742-82-1,A1,,,,"0,8",INSOLUBLE,148,,,40,YES,no,"CAS: 64742-82-1 MARPOL: A1 REL. DENSITY: 0,8 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 148 FLASH POINT [°C]: 40 | STATIC ACCUMULATOR: YES"
601,598,432,WHITE SPIRIT LOW (15-20%) AROMATIC,,64742-82-1,Y,,,,"0,78 (@15°C)",INSOLUBLE,155,-50,"1,75",41,YES,no,"CAS: 64742-82-1 | MARPOL: Y REL. DENSITY: 0,78 (@15°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 155 MELT. POINT [°C]: -50 | VISCOSITY [MPA*S]: 1,75 | FLASH POINT [°C]: 41 | STATIC ACCUMULATOR: YES"
602,599,433,XYLENES,,,,,,,,,,,,,,yes,
602,599,433,META-XYLENE,XYLENES,108-38-3,Y,,,,"0,868",INSOLUBLE,138,-48,"0,64",25,YES,no,"CAS: 108-38-3 | MARPOL: Y REL. DENSITY: 0,868 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 138 MELT. POINT [°C]: -48 | VISCOSITY [MPA*S]: 0,64 | FLASH POINT [°C]: 25 | STATIC ACCUMULATOR: YES"
602,599,433,ORTHO-XYLENE,XYLENES,95-47-6,Y,,,,"0,83 (@15°C)",INSOLUBLE,145,-24,"0,9",27,YES,no,"CAS: 95-47-6 | MARPOL: Y REL. DENSITY: 0,83 (@15°C) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 145 MELT. POINT [°C]: -24 | VISCOSITY [MPA*S]: 0,9 FLASH POINT [°C]: 27 | STATIC ACCUMULATOR: YES"
602,599,433,PARA-XYLENE,XYLENES,106-42-3,Y,,,,"0,861",INSOLUBLE,138,13,"0,65",23,YES,no,"CAS: 106-42-3 | MARPOL: Y REL. DENSITY: 0,861 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 138 MELT. POINT [°C]: 13 | VISCOSITY [MPA*S]: 0,65 | FLASH POINT [°C]: 23 | STATIC ACCUMULATOR: YES"
602,599,433,XYLENES (MIXED ISOMERS),XYLENES,1330-20-7,Y,,,,"0,86 (@15°C)",INSOLUBLE,140,-50,"0,9 (Approx.)",25,YES,no,"CAS: 1330-20-7 | MARPOL: Y REL. DENSITY: 0,86 (@15°C) | SOLUBILITY [°C]: INSOLUBLE BOIL. POINT [°C]: 140 MELT. POINT [°C]: -50 | VISCOSITY [MPA*S]: 0,9 (Approx.) FLASH POINT [°C]: 25 | STATIC ACCUMULATOR: YES"
