code,pdf_page,book_page,pre_note,step_1,step_2,step_3,step_4,step_5,step_6,step_7,plus_note,minus_note
HX,497,494,Not to be loaded without special cleaning instructions,,,,,,,,,
TX,517,514,Itisadvisable NOT to load and carry this product after thiscargo.,,,,,,,,,
VX,519,516,Itis advisable NOT to load and carry this product after this cargo.,,,,,,,,,
WX,520,517,Itisadvisable NOT to load and carry this product after this cargo.,,,,,,,,,
YX,522,519,Itis advisable NOT to load and carry thisproduct after this cargo.,,,,,,,,,
ZX,523,520,Itisadvisable NOT to load and carry this product after thiscargo.,,,,,,,,,
